timestamp,username,binary_process
2024-04-21T17:36:48.297842,wagnerduane,powershell.exe
2024-05-02T21:33:39.297842,mary59,cmd.exe
2024-05-04T23:46:50.297842,michele50,cmd.exe
2024-05-10T18:47:04.297842,williammichael,chrome.exe
2024-05-01T19:03:37.297842,gloriacastro,explorer.exe
2024-05-05T12:50:08.297842,yhiggins,mspaint.exe
2024-05-10T15:41:47.297842,gloriacastro,svchost.exe
2024-05-12T23:14:28.297842,richardsondavid,chrome.exe
2024-05-08T08:22:21.297842,michele50,cmd.exe
2024-05-16T16:11:05.297842,williammichael,mspaint.exe
2024-05-17T10:53:22.297842,wagnerduane,cmd.exe
2024-04-28T23:38:17.297842,yhiggins,firefox.exe
2024-04-21T16:36:51.297842,tammy79,calc.exe
2024-04-28T10:11:23.297842,michele50,svchost.exe
2024-05-03T15:12:05.297842,tammy79,explorer.exe
2024-05-08T05:57:56.297842,richardsondavid,calc.exe
2024-05-10T14:55:12.297842,tammy79,mspaint.exe
2024-04-24T08:12:24.297842,williammichael,cmd.exe
2024-05-04T21:24:08.297842,colecory,powershell.exe
2024-04-29T17:24:51.297842,tammy79,firefox.exe
2024-04-27T20:10:39.297842,michele50,notepad.exe
2024-05-16T07:22:44.297842,tammy79,calc.exe
2024-04-18T19:36:21.297842,williammichael,notepad.exe
2024-05-03T08:31:26.297842,yhiggins,cmd.exe
2024-05-08T03:42:33.297842,tammy79,chrome.exe
2024-04-25T04:53:26.297842,mary59,chrome.exe
2024-05-06T13:17:37.297842,colecory,firefox.exe
2024-04-23T11:12:48.297842,mary59,svchost.exe
2024-05-12T07:12:34.297842,williammichael,cmd.exe
2024-05-06T11:54:22.297842,richardsondavid,cmd.exe
2024-05-12T13:14:04.297842,tammy79,firefox.exe
2024-04-21T00:58:57.297842,colecory,notepad.exe
2024-04-27T03:48:51.297842,wagnerduane,mspaint.exe
2024-05-09T11:39:26.297842,wagnerduane,cmd.exe
2024-04-21T06:10:56.297842,colecory,explorer.exe
2024-04-23T17:22:12.297842,tammy79,chrome.exe
2024-04-29T03:02:10.297842,lisa99,notepad.exe
2024-04-21T01:11:47.297842,yhiggins,firefox.exe
2024-05-06T23:02:08.297842,williammichael,svchost.exe
2024-05-06T18:15:10.297842,lisa99,taskmgr.exe
2024-04-26T00:14:47.297842,mary59,taskmgr.exe
2024-05-14T00:34:33.297842,tammy79,calc.exe
2024-04-25T03:53:36.297842,lisa99,notepad.exe
2024-04-28T04:34:30.297842,wagnerduane,svchost.exe
2024-04-21T13:13:54.297842,colecory,svchost.exe
2024-05-13T08:39:55.297842,mary59,mspaint.exe
2024-05-16T07:00:10.297842,mary59,calc.exe
2024-04-22T17:23:59.297842,mary59,powershell.exe
