_bkt,_cd,_indextime,_raw,_serial,_si,_sourcetype,_subsecond,_time,host,index,linecount,source,sourcetype,splunk_server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398175,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""System Check"" color=green due_to_stanza=""feature:wlm_system_check"" node_type=feature node_path=splunkd.workload_management.system_check",0,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398166,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""Configuration Check"" color=green due_to_stanza=""feature:wlm_configuration_check"" node_type=feature node_path=splunkd.workload_management.configuration_check",1,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398157,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""Admission Rules Check"" color=green due_to_stanza=""feature:admission_rules_check"" node_type=feature node_path=splunkd.workload_management.admission_rules_check",2,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398150,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""Workload Management"" color=green node_type=category node_path=splunkd.workload_management",3,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398140,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""Searches Skipped in the last 24 hours"" color=green due_to_stanza=""feature:searches_skipped"" node_type=feature node_path=splunkd.search_scheduler.searches_skipped_in_the_last_24_hours",4,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398131,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""Searches Delayed"" color=green due_to_stanza=""feature:searches_delayed"" node_type=feature node_path=splunkd.search_scheduler.searches_delayed",5,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398123,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""Search Lag"" color=green due_to_stanza=""feature:search_lag"" node_type=feature node_path=splunkd.search_scheduler.search_lag",6,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398114,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""Scheduler Suppression"" color=green due_to_stanza=""feature:scheduler_suppression"" node_type=feature node_path=splunkd.search_scheduler.scheduler_suppression",7,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398107,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""Search Scheduler"" color=green node_type=category node_path=splunkd.search_scheduler",8,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398098,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""Index Optimization"" color=green due_to_stanza=""feature:splunkoptimize_processes"" node_type=feature node_path=splunkd.index_processor.index_optimization",9,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398090,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""Disk Space"" color=green due_to_stanza=""feature:disk_space"" node_type=feature node_path=splunkd.index_processor.disk_space",10,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398082,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""Buckets"" color=green due_to_stanza=""feature:buckets"" node_type=feature node_path=splunkd.index_processor.buckets",11,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
_internal~4~8F085A33-88AF-4936-881D-AD2F5B920414,4:398075,1717056202,"05-30-2024 10:03:22.046 +0200 INFO  PeriodicHealthReporter - feature=""Index Processor"" color=green node_type=category node_path=splunkd.index_processor",12,"['splunk-server', '_internal']",splunkd,.046,2024-05-30T10:03:22.046+02:00,splunk-server,_internal,1,/opt/splunk/var/log/splunk/health.log,splunkd,splunk-server
